"logger","datetime","max","min","mean","range","date"
"Cayo.OR3.arr3","2016-02-07 23:45:00",29.966,27.924,28.9495401785714,2.042,2016-02-07
"Drago.OR4","2016-02-07 23:45:00",29.265,27.825,28.5299161706349,1.44,2016-02-07
"Punta.IR1","2016-02-07 23:45:00",29.74,28.518,29.0938501984127,1.222,2016-02-07
"STRI.IR2","2016-02-07 23:45:00",29.464,28.221,28.8357837301587,1.243,2016-02-07
"Cristo.IR3.arr1","2016-02-07 23:45:00",30.7977777777778,28.4188888888889,29.5609463183422,2.37888888888889,2016-02-07
"Cayo.OR3.arr3","2016-02-14 23:45:00",28.692,27.038,27.8432767857143,1.654,2016-02-14
"Drago.OR4","2016-02-14 23:45:00",28.468,26.769,27.5824231150794,1.699,2016-02-14
"Punta.IR1","2016-02-14 23:45:00",28.766,27.038,27.9116989087302,1.728,2016-02-14
"STRI.IR2","2016-02-14 23:45:00",28.791,27.038,27.8750322420635,1.753,2016-02-14
"Cristo.IR3.arr1","2016-02-14 23:45:00",29.04,27.3077777777778,28.1621990740741,1.73222222222223,2016-02-14
"Cayo.OR3.arr3","2016-02-21 23:45:00",28.866,27.284,28.058744047619,1.582,2016-02-21
"Drago.OR4","2016-02-21 23:45:00",28.171,27.259,27.7003323412698,0.911999999999999,2016-02-21
"Punta.IR1","2016-02-21 23:45:00",28.444,27.505,27.990912202381,0.939,2016-02-21
"STRI.IR2","2016-02-21 23:45:00",28.196,27.284,27.7077733134921,0.912000000000003,2016-02-21
"Cristo.IR3.arr1","2016-02-21 23:45:00",30.0911111111111,27.235,28.4968485449735,2.85611111111112,2016-02-21
"Cayo.OR3.arr3","2016-02-28 23:45:00",29.715,27.653,28.6553129960317,2.062,2016-02-28
"Drago.OR4","2016-02-28 23:45:00",29.79,27.456,28.4473566468254,2.334,2016-02-28
"Punta.IR1","2016-02-28 23:45:00",29.715,27.604,28.6607405753968,2.111,2016-02-28
"STRI.IR2","2016-02-28 23:45:00",28.891,27.727,28.2464171626984,1.164,2016-02-28
"Cristo.IR3.arr1","2016-02-28 23:45:00",31.2811111111111,28.1711111111111,29.5439473104056,3.11,2016-02-28
"Cayo.OR3.arr3","2016-03-06 23:45:00",29.265,27.456,28.3636130952381,1.809,2016-03-06
"Drago.OR4","2016-03-06 23:45:00",29.34,27.431,28.3341101190476,1.909,2016-03-06
"Punta.IR1","2016-03-06 23:45:00",29.64,27.801,28.720847718254,1.839,2016-03-06
"STRI.IR2","2016-03-06 23:45:00",29.215,27.801,28.451808531746,1.414,2016-03-06
"Cristo.IR3.arr1","2016-03-06 23:45:00",30.95,28.0227777777778,29.3479899691358,2.92722222222222,2016-03-06
"Cayo.OR3.arr3","2016-03-13 23:45:00",30.444,28.295,29.2801691468254,2.149,2016-03-13
"Drago.OR4","2016-03-13 23:45:00",29.865,27.899,28.8704424603175,1.966,2016-03-13
"Punta.IR1","2016-03-13 23:45:00",30.646,29.015,29.8599737103175,1.631,2016-03-13
"STRI.IR2","2016-03-13 23:45:00",29.69,28.518,29.067623015873,1.172,2016-03-13
"Cristo.IR3.arr1","2016-03-13 23:45:00",31.6888888888889,28.8161111111111,30.1342595348325,2.87277777777778,2016-03-13
"Cayo.OR3.arr3","2016-03-20 23:45:00",30.571,28.32,29.3862018849206,2.251,2016-03-20
"Drago.OR4","2016-03-20 23:45:00",30.293,27.825,28.990066468254,2.468,2016-03-20
"Punta.IR1","2016-03-20 23:45:00",30.646,29.14,29.9057807539683,1.506,2016-03-20
"STRI.IR2","2016-03-20 23:45:00",29.991,28.617,29.2949112103175,1.374,2016-03-20
"Cristo.IR3.arr1","2016-03-20 23:45:00",31.8161111111111,28.4927777777778,30.1173109567901,3.32333333333333,2016-03-20
"Cayo.OR3.arr3","2016-03-27 23:45:00",30.343,28.444,29.3524583333333,1.899,2016-03-27
"Drago.OR4","2016-03-27 23:45:00",30.091,27.825,28.939939484127,2.266,2016-03-27
"Punta.IR1","2016-03-27 23:45:00",30.419,28.518,29.459746031746,1.901,2016-03-27
"STRI.IR2","2016-03-27 23:45:00",29.665,28.642,29.1640868055556,1.023,2016-03-27
"Cristo.IR3.arr1","2016-03-27 23:45:00",31.0261111111111,28.9411111111111,29.9918380731922,2.085,2016-03-27
