"frag","treat","sitename","reef","T2_T0_perc","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA"
"O4E10","Mod Var","BN","Outer Reef",3.27827191867853,0.14647354644909,0.0781555746938628,0.0642881495190941,NA,239365.373733253,0.491675891233202
"O4F3","Mod Var","BN","Outer Reef",4.06366935026647,0.285219463511532,0.106763866203338,0.279049202083181,0.534,314556.085183507,2.39099697420933
"I2G11","Mod Var","SP","Inner Reef",-0.690517379232136,0.190644335005122,0.055323482295088,0.0813962125716341,NA,244813.528096245,1.06093759385623
"I2H13","Mod Var","SP","Inner Reef",1.79827294578473,0.0597947604433905,0.0593647251030289,0.0348940566480167,NA,165966.905619889,0.738982154869201
"I2I3","Mod Var","SP","Inner Reef",1.48266388347428,0.135739193478527,0.0696558420675979,0.0329174736093871,0.578666666666667,526477.578832746,0.928497570151639
"I3G3","Mod Var","CI","Inner Reef",3.90376879102266,0.274616255559957,0.250817836414853,0.10483603015721,0.399,2249534.00321814,7.23718133698902
"I3H3","Mod Var","CI","Inner Reef",0.870840760546658,0.313320318681257,0.178744996835075,0.0638289445749684,0.589333333333333,913781.634379726,2.8999512868208
"I3I3","Mod Var","CI","Inner Reef",1.21542017746625,0.453072344660637,0.248210008590966,0.259242643699788,0.594333333333333,2819791.38681711,5.36846024878359
"I4H3","Mod Var","PD","Inner Reef",1.6033166233052,0.333146584382792,0.203981009474508,0.125355578088558,0.614666666666667,1054302.60856339,2.86750672850945
"I4I7","Mod Var","PD","Inner Reef",1.33472057074912,0.474832935630515,0.155813467852924,0.0416631991727459,NA,813199.348937915,2.80787128240233
"O2G7","Mod Var","BS","Outer Reef",-0.454469258134793,NA,NA,NA,NA,NA,1.67745366924193
"O2H8","Mod Var","BS","Outer Reef",0.936420389114506,0.361912264274324,0.158990062380162,0.195141719404557,NA,1541255.50298425,3.1317848468511
"O3G8","Mod Var","CA","Outer Reef",4.22253796288074,0.324258955618815,0.128343893751295,0.178892895198281,NA,1290614.28605452,6.05546440582916
"O3I11","Mod Var","CA","Outer Reef",0.947761610079723,0.337768832786425,0.0923174870149846,0.176213349109833,NA,433004.576766167,1.69528831684644
"O4H3","Mod Var","BN","Outer Reef",3.17018464372973,0.224333745023942,0.141635604975931,0.298674070158088,0.487,1154560.82840662,3.56746146082105
"O4I3","Mod Var","BN","Outer Reef",-0.434702749035688,0.226250060614114,0.162772243827063,0.0524215248393031,0.477333333333333,391844.985008432,1.58006028061164
"I2A4","High Var","SP","Inner Reef",0.685486594178421,0.196289911553055,0.0470171154729752,0.0802838777167323,0.476333333333333,241870.637930905,1.14568444145283
"I2B4","High Var","SP","Inner Reef",2.45320577999915,0.192555098841989,0.0698716639970066,0.111250161750484,0.579333333333333,239160.30224511,1.5968581533095
"I2C4","High Var","SP","Inner Reef",-0.262072521051727,0.32991590372953,0.0706381840902867,0.041832003957979,0.563333333333333,119474.286976626,0.5127989776189
"I3A4","High Var","CI","Inner Reef",2.04835460040295,0.337863820072502,0.279557587353091,0.233501498827292,0.590333333333333,NA,NA
"I3B4","High Var","CI","Inner Reef",7.6990671894011,NA,NA,NA,0.582,NA,NA
"I3C4","High Var","CI","Inner Reef",1.36242696509031,0.298615002986341,0.094406985034642,0.127655782600539,0.611,1122974.78527804,4.35695706114496
"I4A4","High Var","PD","Inner Reef",-1.3486899116104,0.332144973884692,0.16611617947458,0.279622935391948,0.588666666666667,497292.280970398,1.80675130796168
"I4B4","High Var","PD","Inner Reef",0.423967860500887,0.197065313380248,0.0270683982368066,0.039441001546448,0.562666666666667,220992.867846512,1.08872136344584
"I4C4","High Var","PD","Inner Reef",2.10688707715869,0.17170988100305,0.0818838136770108,0.0686796419447597,0.521666666666667,900852.99452939,1.30487682414289
"O2B4","High Var","BS","Outer Reef",2.43595128097439,NA,NA,NA,0.566,NA,NA
"O2C7","High Var","BS","Outer Reef",3.01628355979747,0.297873208586596,0.14783589643358,0.401913528549389,NA,1636843.11548286,3.36814921619934
"O3B4","High Var","CA","Outer Reef",2.89634644948157,0.217062249509928,0.13424620706741,0.218226216594757,0.549,798304.038698445,3.2634193921017
"O3C4","High Var","CA","Outer Reef",1.16702731694687,0.28947647499069,0.16273357431007,0.201930054880753,0.526333333333333,764623.841702559,8.56844905518223
"O4A4","High Var","BN","Outer Reef",1.81792915255949,0.122978512201045,0.131059398008363,0.074589541392771,0.531666666666667,226824.098662641,0.597046392499803
"O4B1","High Var","BN","Outer Reef",0.721153846153834,NA,NA,NA,0.593,NA,NA
"I2D4","High Var","SP","Inner Reef",2.58662026825226,0.128621942646412,0.0426701802068475,0.0971202217032344,0.533666666666667,299178.91263906,0.837175652879967
"I2E4","High Var","SP","Inner Reef",1.8274486630226,0.176341707774195,0.0258031540129741,0.0474194067727926,0.558,175193.473978329,0.342742448101718
"I2F4","High Var","SP","Inner Reef",1.09302696665071,0.204426415752699,0.0384265350254476,0.112506579997482,0.513,119646.039426808,0.298779680610337
"I3E4","High Var","CI","Inner Reef",3.58862346372153,0.119222281020072,0.0375214828264802,0.256263835794585,0.586666666666667,185066.451749875,0.59732792528143
"I3F4","High Var","CI","Inner Reef",4.76154698623191,NA,NA,NA,0.611666666666667,NA,3.00447056704448
"I4D4","High Var","PD","Inner Reef",-0.515576584337272,0.492113586535794,0.1077490990349,0.105576829148308,0.576666666666667,372672.710408605,7.79217304672875
"I4E7","High Var","PD","Inner Reef",-0.341653027823244,NA,NA,NA,NA,NA,NA
"I4F4","High Var","PD","Inner Reef",1.86617909274985,0.271162566994566,0.070943371442778,0.12388756104332,0.488333333333333,113621.493273709,1.2104307337156
"O2E4","High Var","BS","Outer Reef",2.04898759858653,0.372567949478312,0.102457015978779,0.199561680608479,0.586666666666667,516438.852357221,2.28245808754067
"O2F8","High Var","BS","Outer Reef",-0.5090482663042,0.273517778292021,0.0666591207525003,0.0845577870388286,NA,634308.82894405,1.00010258425681
"O3E9","High Var","CA","Outer Reef",4.21315617636204,0.366636398372333,0.130029319590518,0.319295183205709,NA,955087.933940782,3.49021336086246
"O4D4","High Var","BN","Outer Reef",3.09249067992188,0.374411189537501,0.0779095956606292,0.167323465363024,0.536,438482.681499718,0.954066432536583
"O4D4","High Var","BN","Outer Reef",3.09249067992188,0.374411189537501,0.0779095956606292,0.167323465363024,0.536,438482.681499718,0.779686901872622
"O4E4","High Var","BN","Outer Reef",3.07976887431111,0.473944844859312,0.128499032650118,0.169853192439378,0.519666666666667,263978.465460984,2.26589215559254
"O4F4","High Var","BN","Outer Reef",2.71448570095328,NA,NA,NA,0.494666666666667,NA,2.56769735438146
